N,Посада,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Ще студент,Рівень англійської,Дата заповнення,User.Agent,exp,current_job_exp,salary,Мова програмування
2022,Software Engineer,2,2,2000,500,Київ,до 50 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,True,Upper-Intermediate (вище середнього),13/06/2017 09:11:13,"Mozilla/5.0 (Linux; Android 5.1; m2 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,2.0,2000,Python
2134,Junior Software Engineer,0.5,0.5,100,0,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,32,Вища,False,Intermediate (середній),13/06/2017 10:25:39,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.5,100,Python
2166,Senior Software Engineer,4,1.5,3000,600,Віддалено,до 50 осіб,Аутсорсингова,чоловіча,28,Вища,False,Intermediate (середній),13/06/2017 10:41:12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,1.5,3000,Python
2185,Software Engineer,4,1.5,2300,600,Київ,до 10 осіб,Стартап,чоловіча,34,Дві вищих,False,Upper-Intermediate (вище середнього),13/06/2017 10:54:05,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J710F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,1.5,2300,Python
2188,Junior Software Engineer,1.5,менше 3 місяців,650,450,Київ,до 200 осіб,Продуктова,чоловіча,19,Неповна Вища,False,Pre-intermediate (нище середнього),13/06/2017 10:55:35,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.5,0.0,650,Python
2193,Software Engineer,2,1,2500,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,20,Неповна Вища,True,Upper-Intermediate (вище середнього),13/06/2017 10:56:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,1.0,2500,Python
2225,Software Engineer,6,2,4500,1500,Київ,до 50 осіб,Продуктова,чоловіча,33,Вища,False,Intermediate (середній),13/06/2017 11:17:57,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",6.0,2.0,4500,Python
2245,Software Engineer,3,0.5,2400,1000,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,24,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 11:29:18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,2400,Python
2287,Software Engineer,4,1,3500,0,Віддалено,до 10 осіб,Продуктова,чоловіча,30,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 11:54:54,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,3500,Python
2290,Senior Software Engineer,7,4,3000,0,Харків,до 1000 осіб,Аутстафінгова,чоловіча,27,Вища,False,Intermediate (середній),13/06/2017 11:57:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36",7.0,4.0,3000,Python
2351,Software Engineer,5,1,2100,0,Львів,до 1000 осіб,Продуктова,чоловіча,31,Дві вищих,False,Intermediate (середній),13/06/2017 12:14:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,2100,Python
2357,Software Engineer,2,менше 3 місяців,1900,1100,Віддалено,до 50 осіб,Аутсорсингова,чоловіча,23,Вища,False,Intermediate (середній),13/06/2017 12:14:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,1900,Python
2388,Senior Software Engineer,10 і більше років,3,2600,600,Львів,більше 1000 осіб,Аутстафінгова,чоловіча,28,Вища,False,Intermediate (середній),13/06/2017 12:16:39,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",10.0,3.0,2600,Python
2434,Software Engineer,10 і більше років,менше 3 місяців,1900,700,Віддалено,до 10 осіб,Стартап,чоловіча,29,Вища,False,Upper-Intermediate (вище середнього),13/06/2017 12:19:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",10.0,0.0,1900,Python
2455,Software Engineer,1.5,0.5,500,0,Харків,до 1000 осіб,Інша,чоловіча,24,Вища,False,Pre-intermediate (нище середнього),13/06/2017 12:20:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.5,500,Python
2464,Software Engineer,6,3,3000,800,Дніпро,до 50 осіб,Продуктова,чоловіча,27,Вища,False,Advanced (просунутий),13/06/2017 12:21:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",6.0,3.0,3000,Python
2475,Software Engineer,2,0.25,1500,200,Київ,до 1000 осіб,Продуктова,чоловіча,23,Неповна Вища,False,Intermediate (середній),13/06/2017 12:21:53,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",2.0,0.25,1500,Python
2558,Software Engineer,3,1.5,2300,300,Інше,до 200 осіб,Продуктова,чоловіча,25,Дві вищих,False,Upper-Intermediate (вище середнього),13/06/2017 12:29:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,1.5,2300,Python
2633,Technical Lead,4,1.5,3500,1000,Київ,до 50 осіб,Продуктова,чоловіча,23,Неповна Вища,False,Upper-Intermediate (вище середнього),13/06/2017 12:37:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,1.5,3500,Python
2653,Software Engineer,4,менше 3 місяців,1700,100,Київ,до 10 осіб,Продуктова,чоловіча,26,Технікум / Коледж,False,Intermediate (середній),13/06/2017 12:39:39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,0.0,1700,Python
2662,Software Engineer,1,0.25,1100,900,Київ,до 10 осіб,Аутстафінгова,чоловіча,20,Вища,False,Advanced (просунутий),13/06/2017 12:41:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",1.0,0.25,1100,Python
2769,Software Engineer,4,1,1880,250,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,31,Технікум / Коледж,False,Pre-intermediate (нище середнього),13/06/2017 12:57:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",4.0,1.0,1880,Python
2782,Software Engineer,5,1,2000,1000,Київ,до 10 осіб,Стартап,чоловіча,27,Вища,False,Intermediate (середній),13/06/2017 12:59:43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,2000,Python
2796,Junior Software Engineer,2,0.5,1000,100,Полтава,до 10 осіб,Продуктова,чоловіча,23,Вища,True,Intermediate (середній),13/06/2017 13:02:17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1000,Python
